VOYAGEID,STATUS,ADLT1IMP,ADLT2IMP,ADLT3IMP,ADPSALE1,ADPSALE2,ADULT1,ADULT2,ADULT3,ADULT4,ADULT5,ADULT6,ADULT7,ARRPORT,ARRPORT2,BOY1,BOY2,BOY3,BOY4,BOY5,BOY6,BOY7,BOYRAT7,CAPTAINA,CAPTAINB,CAPTAINC,CHIL1IMP,CHIL2IMP,CHIL3IMP,CHILD1,CHILD2,CHILD3,CHILD4,CHILD5,CHILD6,CHILD7,CHILRAT7,CONSTREG,CREW,CREW1,CREW2,CREW3,CREW4,CREW5,CREWDIED,DATEDEPA,DATEDEPB,DATEDEPC,D1SLATRA,D1SLATRB,D1SLATRC,DLSLATRA,DLSLATRB,DLSLATRC,DDEPAM,DDEPAMB,DDEPAMC,DATARR32,DATARR33,DATARR34,DATARR36,DATARR37,DATARR38,DATARR39,DATARR40,DATARR41,DATARR43,DATARR44,DATARR45,DATEDEP,DATEBUY,DATELEFTAFR,DATELAND1,DATELAND2,DATELAND3,DATEDEPAM,DATEEND,DEPTREGIMP,DEPTREGIMP1,EMBPORT,EMBPORT2,EMBREG,EMBREG2,EVGREEN,FATE,FATE2,FATE3,FATE4,FEMALE1,FEMALE2,FEMALE3,FEMALE4,FEMALE5,FEMALE6,FEMALE7,FEML1IMP,FEML2IMP,FEML3IMP,GIRL1,GIRL2,GIRL3,GIRL4,GIRL5,GIRL6,GIRL7,GIRLRAT7,GUNS,INFANT1,INFANT2,INFANT3,INFANT4,INFANT5,INFANT6,JAMCASPR,MAJBUYPT,MAJBYIMP,MAJBYIMP1,MAJSELPT,MALE1,MALE1IMP,MALE2,MALE2IMP,MALE3,MALE3IMP,MALE4,MALE5,MALE6,MALE7,MALRAT7,MEN1,MEN2,MEN3,MEN4,MEN5,MEN6,MEN7,MENRAT7,MJBYPTIMP,MJSELIMP,MJSELIMP1,MJSLPTIMP,NATINIMP,NATIONAL,NCAR13,NCAR15,NCAR17,NDESERT,NPAFTTRA,NPPRETRA,NPPRIOR,OWNERA,OWNERB,OWNERC,OWNERD,OWNERE,OWNERF,OWNERG,OWNERH,OWNERI,OWNERJ,OWNERK,OWNERL,OWNERM,OWNERN,OWNERO,OWNERP,PLAC1TRA,PLAC2TRA,PLAC3TRA,PLACCONS,PLACREG,PORTDEP,PORTRET,PTDEPIMP,REGARR,REGARR2,REGDIS1,REGDIS2,REGDIS3,REGEM1,REGEM2,REGEM3,REGISREG,RESISTANCE,RETRNREG,RETRNREG1,RIG,SAILD1,SAILD2,SAILD3,SAILD4,SAILD5,SHIPNAME,SLA1PORT,SLAARRIV,SLADAFRI,SLADAMER,SLADVOY,SLAMIMP,SLAS32,SLAS36,SLAS39,SLAVEMA1,SLAVEMA3,SLAVEMA7,SLAVEMX1,SLAVEMX3,SLAVEMX7,SLAVMAX1,SLAVMAX3,SLAVMAX7,SLAXIMP,SLINTEN2,SLINTEND,SOURCEA,SOURCEB,SOURCEC,SOURCED,SOURCEE,SOURCEF,SOURCEG,SOURCEH,SOURCEI,SOURCEJ,SOURCEK,SOURCEL,SOURCEM,SOURCEN,SOURCEO,SOURCEP,SOURCEQ,SOURCER,TONMOD,TONNAGE,TONTYPE,TSLAVESD,TSLAVESP,TSLMTIMP,VOY1IMP,VOY2IMP,VOYAGE,VYMRTIMP,VYMRTRAT,WOMEN1,WOMEN2,WOMEN3,WOMEN4,WOMEN5,WOMEN6,WOMEN7,WOMRAT7,XMIMPFLAG,YEAR10,YEAR100,YEAR25,YEAR5,YEARAF,YEARAM,YEARDEP,YRCONS,YRREG,VOYAGEID2,INTRAAMER,BOYRAT1,CHILRAT1,GIRLRAT1,MALRAT1,MENRAT1,WOMRAT1,BOYRAT3,CHILRAT3,GIRLRAT3,MALRAT3,MENRAT3,WOMRAT3
11589,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Voogt, Barent Harmensz",,,,,,,,,,,,,,,,,,,,,,,8.0,1670.0,,,,,,,,,1671.0,14.0,2.0,1671.0,,,,,,,,6.0,1671.0,"08,,1670",",,",,"02,14,1671",",,",",,",",,1671","06,,1671",10800.0,10000.0,60724.0,,60700.0,,False,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60799.0,60700.0,60000.0,32240.0,,,,,,,,,,,,,,,,,,,,60799.0,32200.0,30000.0,32240.0,8.0,,,,,,,,,"Abrahamsen, Hereman","Goulaert, Simon","Pruijs, Johannes",,,,,,,,,,,,,,60724.0,60729.0,,,,10810.0,10829.0,10810.0,,,32200.0,,,60700.0,60700.0,,,,10800.0,10000.0,,,,,,,Jupiter,32240.0,,,,,391.0,,,,,,,,,,,,,455.0,,,BDB122a,"GAA,NA,2626:14Aug1670","GAA,NA,2907:1075,12June1673","Binder:ARA,OWIC15,21/6/1671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,18,1600,7,35,1671,1671,1670,,,,0,,,,,,,,,,,,
11753,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Guepin, Jacob",,,,,,,,,,,,,,,,,,,,,,24.0,12.0,1714.0,,,,20.0,11.0,1715.0,,,,,,,,,,,,,,,,"12,24,1714",",,","11,20,1715",",,",",,",",,",",,",",,",10800.0,10000.0,,,,,False,19,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,60709.0,60700.0,60000.0,,,,,,,,,,,,,,,,,,,,,60709.0,,,,8.0,,,,,,,,,"Hijgeret, Adriaan","Guepin, Jacob","Huijssen, Abraham",,,,,,,,,,,,,,60709.0,,,,,10851.0,,10851.0,,,,,,60700.0,,,,,,,30.0,,,,,,Vlissings Welvaren,,,,,,275.0,,,,,,,,,,,,,321.0,,,"Postma,82","Binder:ARA,SG,5775,28/5/1716","Paesie,307-13,357-79,387,393,403",,,,,,,,,,,,,,,,,,,,321.0,,,,,,,,,,,,,,,70.0,22,1700,9,43,1715,1715,1714,,,,0,,,,,,,,,,,,
11803,PUBLISHED,,,,,,,,,,,,,32110.0,,,,,,,,,,"Pietersz, Jan",,,,,,,,,,,,,,,,,,,,,,18.0,8.0,1659.0,24.0,2.0,1660.0,,7.0,1660.0,,1.0,1661.0,,,1660.0,,,,,,,18.0,3.0,1661.0,"08,18,1659","02,24,1660",,",,1660",",,",",,","01,,1661","03,18,1661",10800.0,10000.0,,,,,False,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60524.0,60500.0,60000.0,32110.0,,,,,,,,,,,,,,,,,,,,60524.0,32100.0,30000.0,32110.0,8.0,,0.0,43.0,0.0,,,,,West-Indische Compagnie,,,,,,,,,,,,,,,,60524.0,60510.0,60622.0,,,10829.0,10829.0,10829.0,32100.0,,32100.0,,,60500.0,60500.0,60600.0,,,10800.0,10000.0,,,,,,,Nieuw Westindisch Huis,32110.0,,,,,411.0,,,,,,,,,,,,,478.0,,,BDB41,"GAA,NA,1364:86v,17/6/1661","Binder:GAA,NA,2448:31/7/1659","GAA,NA,1143:127,3/11/1662",,,,,,,,,,,,,,,,,,,478.0,,,,,,,,,,,,,,,8.0,16,1600,7,32,1660,1660,1659,,,,0,,,,,,,,,,,,
11812,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Bakker, Cornelis",,,,,,,,,,,,,,,,,,,,,,,1.0,1749.0,,5.0,1749.0,,,,,,,,,,,,,,,,,,,"01,,1749","05,,1749",,",,",",,",",,",",,",",,",10800.0,10000.0,,,,,False,59,5,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,60900.0,60000.0,,,,,,,,,,,,,,,,,,,,,60999.0,,,,8.0,,,,,,60661.0,,,,,,,,,,,,,,,,,,,60220.0,60912.0,60310.0,,,10829.0,,10829.0,,,,,,60200.0,60900.0,60300.0,,,,,,,,,,,Elisabeth,,,,,,279.0,,,,,,,,,,,,,303.0,,,"GAA,NA,10255:246,18/3/51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,25,1700,10,50,1749,1749,1749,,,,0,,,,,,,,,,,,
11922,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Rochiers, Jan",,,,,,,,,,,,,,,,,,,,,,,10.0,1713.0,,,,,,,,,,,,,,,,,,,,7.0,1715.0,"10,,1713",",,",,",,",",,",",,",",,","07,,1715",10800.0,10000.0,,,,,False,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60428.0,60400.0,60000.0,32150.0,,,,,,,,,,,,,,,,,,,,60428.0,32100.0,30000.0,32150.0,8.0,,,,,,,,,"Hoorn, Nicolaas van",,,,,,,,,,,,,,,,60428.0,,,,,10851.0,,10851.0,,,32100.0,,,60400.0,,,,,,,,,,,,,Eenhoorn,32150.0,,,,,403.0,,,,,,,,,,,,,468.0,,,"Paesie,357-79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,22,1700,9,43,1713,1713,1713,,,,0,,,,,,,,,,,,
11986,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Donker, Jan",,,,,,,,,,,,,,,,,,,,,,7.0,4.0,1730.0,26.0,3.0,1731.0,,,,,,,,,,,,,,,,,,,"04,07,1730","03,26,1731",,",,",",,",",,",",,",",,",10800.0,10000.0,,,,,False,18,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,60712.0,60700.0,60000.0,,,,,,,,,,,,,,,,,,,,,60712.0,,,,8.0,,,,,,,,,"Moor, Jan de",,,,,,,,,,,,,,,,60712.0,,,,,10851.0,,10851.0,,,,,,60700.0,,,,,,,,,,,,,Jonge Moor,,,,,,277.0,,,,,,,,,,,,,310.0,,,"Paesie,357-79,387,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,24,1700,10,47,1731,1731,1730,,,,0,,,,,,,,,,,,
14590,PUBLISHED,,,113.0,,,,,,,,,113.0,31312.0,,,,10.0,,,,10.0,0.07634,"Belarde, José",,,,,18.0,,,,,,,18.0,0.1374,,,,,,,,,,,,,,,28.0,11.0,1812.0,,,,,12.0,1812.0,,,,,,,,,,",,",",,","11,28,1812","12,,1812",",,",",,",",,",",,",,,,,,,True,49,1,14,1,,,,,,,43.0,,,43.0,,,8.0,,,,8.0,0.06107,,,,,,,,,60699.0,60600.0,60000.0,31312.0,,,,,,88.0,,,,88.0,0.67176,,,78.0,,,,78.0,0.59542,60699.0,31300.0,30000.0,31312.0,3.0,1.0,,,,,60673.0,,,,,,,,,,,,,,,,,,,60677.0,,,,,,,,31300.0,,31300.0,,,60600.0,,,,,,,40.0,,,,,,Santana,31312.0,131.0,,,,131.0,,,,,131.0,131.0,,131.0,131.0,,131.0,131.0,145.0,,,"Klein,Havana dataset","AHU,SãoTomé,Cx.47,D.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,35.0,0.26718,81.0,32,1800,13,63,1812,1812,1812,,,,0,,,,,,,0.07634,0.1374,0.06107,0.67176,0.59542,0.26718
14746,PUBLISHED,,,,,,,,,,,,267.0,,,,,4.0,,,,4.0,0.0133779264214,"Fernández, Vicente",,,,,,,,,,,,32.0,0.107023411371,,,,,,,,,12.0,8.0,1816.0,,,,,,,,,,27.0,2.0,1817.0,,,,,,,,,,"8,12,1816",",,",,"2,27,1817",",,",",,",",,",",,",31300.0,30000.0,,,,,True,49,1,14,1,,,,,,,82.0,,,,,,28.0,,,,28.0,0.0936454849498,,,,,,,,,60999.0,60900.0,60000.0,31312.0,,,,,,217.0,,,,217.0,0.725752508361,,,213.0,,,,213.0,0.71237458194,60999.0,31300.0,30000.0,31312.0,3.0,1.0,,,,,,,,"Carricaburu, Arrieta & Co.",,,,,,,,,,,,,,,,60999.0,,,,,31312.0,,31312.0,,,31300.0,,,60900.0,,,,,,,2.0,,,,,,Atrevida,31312.0,299.0,,,,299.0,,,,,299.0,299.0,,299.0,299.0,,299.0,299.0,341.0,,,"DdGH,1817.02.28.","ANC,Fomento,86,3506","Klein,Havana dataset",,,,,,,,,,,,,,,,,,,,,,199.0,,,,,,,54.0,,,,54.0,0.180602006689,24.0,32,1800,13,64,1816,1817,1816,,,,0,,,,,,,0.0133779264214,0.107023411371,0.0936454849498,0.725752508361,0.71237458194,0.180602006689
14750,PUBLISHED,,,,,,,,,,,,126.0,,,,,86.0,,,,86.0,0.367521367521,"Martinez, Luis",,,,,,,,,,,,108.0,0.461538461538,,,,,,,,,19.0,8.0,1816.0,,,,24.0,12.0,1816.0,,,,10.0,2.0,1817.0,,,,,,,,,,"8,19,1816",",,",,"2,10,1817",",,",",,",",,",",,",31300.0,30000.0,,,,,True,49,1,14,1,,,,,,,45.0,,,,,,22.0,,,,22.0,0.0940170940171,,,,,,,,,60999.0,60900.0,60000.0,31312.0,,,,,,189.0,,,,189.0,0.807692307692,,,103.0,,,,103.0,0.440170940171,60999.0,31300.0,30000.0,31312.0,3.0,1.0,,,,,,,,"Carrera, Jose",,,,,,,,,,,,,,,,60999.0,,,,,31312.0,,31312.0,,,31300.0,,,60900.0,,,,,,,51.0,,,,,,Aurelia,31312.0,258.0,,,,258.0,,,,,234.0,234.0,,234.0,234.0,,234.0,234.0,266.0,,,"DdGH,1817.02.12.","ANC,Fomento,86,3506","Klein,Havana dataset",,,,,,,,,,,,,,,,,,,,,,175.0,48.0,48.0,,,,,23.0,,,,23.0,0.0982905982906,90.0,32,1800,13,64,1816,1817,1816,,,,0,,,,,,,0.367521367521,0.461538461538,0.0940170940171,0.807692307692,0.440170940171,0.0982905982906
14856,PUBLISHED,,,,,,,,,,,,107.0,,,,,43.0,,,,43.0,0.272151898734,"Roca, Jaime",,,,,,,,,,,,51.0,0.322784810127,,,,,,,,,,,,,,,,,,,,,16.0,8.0,1818.0,,,,,,,,,,",,",",,",,"8,16,1818",",,",",,",",,",",,",,,,,,,True,49,1,14,1,,,,,,,27.0,,,,,,8.0,,,,8.0,0.0506329113924,,,,,,,,,60999.0,60900.0,60000.0,31312.0,,,,,,131.0,,,,131.0,0.829113924051,,,88.0,,,,88.0,0.556962025316,60999.0,31300.0,30000.0,31312.0,3.0,1.0,,,,,,,,"Colomé, Francisco",,,,,,,,,,,,,,,,60999.0,,,,,,,,,,31300.0,,,60900.0,,,,,,,51.0,,,,,,Maria Francisca,31312.0,158.0,,,,158.0,,,,,158.0,158.0,,158.0,158.0,,158.0,158.0,163.0,,,"DdGH,1818.08.16.","Klein,Havana dataset",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,19.0,0.120253164557,90.0,32,1800,13,64,1818,1818,1818,,,,0,,,,,,,0.272151898734,0.322784810127,0.0506329113924,0.829113924051,0.556962025316,0.120253164557
14901,PUBLISHED,,,,,,,,,,,,,34299.0,,,,,,,,,,"Daniel, Giles",,,,,,,,,,,,,,,,,,,,,,13.0,2.0,1689.0,,,,15.0,9.0,1689.0,,,,,,1689.0,,,,,,,,,,"02,13,1689",",,","9,15,1689",",,1689",",,",",,",",,",",,",10400.0,10000.0,60499.0,,60400.0,,True,52,1,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,60405.0,60400.0,60000.0,33799.0,,,,,,,,,,,,,,,,,,,,60405.0,33700.0,30000.0,33799.0,7.0,7.0,,,,,,,,Royal African Company,,,,,,,,,,,,,,,,60405.0,,,,,10433.0,,10433.0,34200.0,,33700.0,,,60400.0,,,,,,,,,,,,,Swann,33799.0,,,,,187.0,,,,,,,,,,,,,240.0,,230.0,"T70/11,37","T70/1222,156","T70/169,115","T70/916,1","Donnan,I,415",,,,,,,,,,,,,,27.4,44.0,21.0,240.0,,,,,,,,,,,,,,,,107.0,19,1600,8,38,1689,1689,1689,,,,0,,,,,,,,,,,,
15130,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Jordan, Henry","Lewis, Daniel",,,,,,,,,,,,,,,,,,,,,10.0,12.0,1701.0,,,,,,,10.0,7.0,1703.0,22.0,8.0,1702.0,,,,,,,,,,"12,10,1701",",,",,"08,22,1702",",,",",,","07,10,1703",",,",10400.0,10000.0,60999.0,,60900.0,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,23.45,60314.0,60300.0,60000.0,34299.0,,,,,,,,,,,,,,,,,,,,60314.0,34200.0,30000.0,34299.0,7.0,7.0,,,,,,,,"Houlditch, Abraham",Brooke,"Bertles, John","Lodge, Abraham","Mendez, Abraham",Brough,Arnold,"Berdoe, James","Jamineau, Daniel",,,,,,,,60314.0,,,,,10433.0,,10433.0,,,34200.0,,,60300.0,,,,,,,,,,,,,Dolphin,34299.0,180.0,,,,180.0,180.0,0.0,0.0,,,,,,,,,,203.0,,,"Donnan,II,25","Davenant,V,185-6",CO33/13,"T70/352,12,15,16","T70/351,87,88,89",,,,,,,,,,,,,,110.3,60.0,22.0,,,,255.0,,,,,,,,,,,,,120.0,21,1700,9,41,1702,1702,1701,,,,0,,,,,,,,,,,,
15271,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,Edwards,,,,,,,,,,,,,,,,,,,,,,20.0,10.0,1681.0,,,,,,,,,,1.0,11.0,1682.0,,,,,,,,,,"10,20,1681",",,",,"11,01,1682",",,",",,",",,",",,",10400.0,10000.0,60608.0,,60600.0,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60608.0,60600.0,60000.0,33499.0,,,,,,,,,,,,,,,,,,,,60608.0,33400.0,30000.0,33401.0,7.0,7.0,,,,,,,,Royal African Company,,,,,,,,,,,,,,,,60608.0,,,,,10433.0,,10433.0,,,33400.0,,,60600.0,,,,,,,,,,,,,Supply,33499.0,120.0,,,,120.0,,,,,,,,,,,,,253.0,,280.0,"T70/16,30","T70/1222,101","T70/963,44",,,,,,,,,,,,,,,,,,,253.0,,253.0,377.0,,,133.0,0.53,,,,,,,,,113.0,19,1600,8,37,1682,1682,1681,,,,0,,,,,,,,,,,,
16303,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Harding, Richard",,,,,,,,,,,,,,,,,,,,,,23.0,2.0,1721.0,,,,28.0,7.0,1721.0,12.0,1.0,1722.0,7.0,11.0,1721.0,,,,,,,,,,"02,23,1721",",,","7,28,1721","11,07,1721",",,",",,","01,12,1722",",,",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60499.0,60400.0,60000.0,35114.0,,,,,,,,,,,,,,,,,,,,60499.0,35100.0,30000.0,35114.0,7.0,7.0,30.0,0.0,0.0,,,,,"Arding, Richard*",,,,,,,,,,,,,,,,60220.0,60335.0,60499.0,,,10404.0,,10404.0,,,35100.0,,,60200.0,60300.0,60400.0,,1.0,,,,,,,,,Robert,35114.0,190.0,,,,190.0,,,,,,,,,,,,,220.0,,,"Richardson,I","Atkins, 71-4","T70/7,30",,,,,,,,,,,,,,,,,,,,,,257.0,102.0,,,,,,,,,,,,108.0,23,1700,9,45,1721,1721,1721,,,,0,,,,,,,,,,,,
16349,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Elston, Robert","Beard, James",,,,,,,,,,,,,,,16.0,,,,,,7.0,9.0,1723.0,,,,,,,,,1724.0,13.0,4.0,1724.0,,,,,,,10.0,7.0,1724.0,"09,07,1723",",,",,"04,13,1724",",,",",,",",,1724","07,10,1724",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60601.0,60600.0,60000.0,34299.0,,,,,,,,,,,,,,,,,,,,60601.0,34200.0,30000.0,34299.0,7.0,7.0,,,,,,,,"Stear, Richard",,,,,,,,,,,,,,,,60601.0,,,,,10404.0,10404.0,10404.0,,,34200.0,,,60600.0,,,,,10400.0,10000.0,,,,,,,Saint Christopher Gally,34299.0,102.0,,,,102.0,,,,,,,,,,,,,127.0,,,"Richardson,I","WEP,25.06.17.","BJ,25.06.19.","Proc. of Old Bailey, ref t17250630-58",,,,,,,,,,,,,,,110.3,60.0,22.0,,,,219.0,,,,,,,,,,,,,130.0,23,1700,9,45,1724,1724,1723,,,,0,,,,,,,,,,,,
16543,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Allen, Christopher","Newth, James",,,,,,,,,,,,,80500.0,,,,,,,,25.0,6.0,1728.0,,8.0,1728.0,,,,13.0,1.0,1729.0,31.0,12.0,1728.0,,,,,,,,,,"06,25,1728","08,,1728",,"12,31,1728",",,",",,","01,13,1729",",,",10400.0,10000.0,,,,,True,92,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60201.0,60200.0,60000.0,34299.0,,,,,,,,,,,,,,,,,,,,60201.0,34200.0,30000.0,34299.0,7.0,7.0,,,,,,,,"Baugh, Stephen*",,,,,,,,,,,,,,,,60202.0,60201.0,,80599.0,80599.0,10404.0,60999.0,10404.0,,,34200.0,,,60200.0,60200.0,,80500.0,,60900.0,60000.0,,,,,,,Susannah,34299.0,37.0,,,,37.0,,,,,,,,,,,,,41.0,,,"Richardson,I","T70/1465,ff.98v-99",,,,,,,,,,,,,,,,,74.3,40.0,22.0,,,,189.0,,,,,,,,,,,,,105.0,23,1700,10,46,1728,1728,1728,1725.0,1726.0,,0,,,,,,,,,,,,
16672,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Hall, John",,,,,,,,,,,,,,80500.0,,25.0,,,,,,1.0,12.0,1731.0,,,1732.0,,,1732.0,,,,,10.0,1732.0,,,,,,,12.0,7.0,1733.0,"12,01,1731",",,1732",,"10,,1732",",,",",,",",,","07,12,1733",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,60622.0,60600.0,60000.0,35199.0,,,,,,,,,,,,,,,,,,,,60622.0,35100.0,30000.0,35199.0,7.0,7.0,,,,,,,,"Jacob, Samuel*",,,,,,,,,,,,,,,,60622.0,,,80599.0,,10404.0,10404.0,10404.0,,,35100.0,,,60600.0,,,,,10400.0,10000.0,4.0,,,,,,George,35199.0,,,,,209.0,,,,,,,,,,,,,276.0,,,"Richardson,II","DPB,32.08.01.","DPB,33.01.09.","WR,33.01.13.","ADM7/78,8",,,,,,,,,,,,,,182.3,100.0,22.0,,,,,,,,,,,,,,,,,114.0,24,1700,10,47,1732,1732,1731,,,,0,,,,,,,,,,,,
16952,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Wilson, John",,,,,,,,,,,,,,80500.0,,24.0,,,,,,22.0,6.0,1738.0,,,,,,,,,,,,1739.0,,,,,,,27.0,7.0,1739.0,"06,22,1738",",,",,",,1739",",,",",,",",,","07,27,1739",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,60605.0,60600.0,60000.0,34299.0,,,,,,,,,,,,,,,,,,,,60699.0,34200.0,30000.0,34299.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,60605.0,,,80599.0,,10404.0,10404.0,10404.0,,,34200.0,,,60600.0,,,,,10400.0,10000.0,,,,,,,Margaret,34299.0,,,,,217.0,,,,,,,,,,,,,271.0,,,"Richardson,II","BRO, SMV/9/3/3/1,37","DailyG,39.07.31.",,,,,,,,,,,,,,,,128.3,70.0,22.0,,,,,,,,,,,,,,,,,131.0,24,1700,10,48,1738,1739,1738,,,,0,,,,,,,,,,,,
17137,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Townsend, William",,,,,,,,,,,,,,10400.0,,24.0,,8.0,12.0,,,25.0,11.0,1745.0,,,,,,,1.0,12.0,1746.0,10.0,9.0,1746.0,,,,,,,28.0,3.0,1747.0,"11,25,1745",",,",,"09,10,1746",",,",",,","12,01,1746","03,28,1747",10400.0,10000.0,,,,,True,78,1,13,3,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,60299.0,60200.0,60000.0,35114.0,,,,,,,,,,,,,,,,,,,,60220.0,35100.0,30000.0,35114.0,7.0,7.0,,,,,,,,"Pennington, Thomas",,,,,,,,,,,,,,,,60220.0,,,10433.0,10404.0,10404.0,10404.0,10404.0,,,35100.0,,,60200.0,,,10400.0,,10400.0,10000.0,35.0,,,,,,Antelope,35114.0,186.0,,,,186.0,,,,,,,,,,,,,227.0,,,"Richardson,II","GA,46.12.12",,,,,,,,,,,,,,,,,146.3,80.0,22.0,,,,289.0,,,,,,,,,,,,,75.0,25,1700,10,50,1746,1746,1745,1726.0,1742.0,,0,,,,,,,,,,,,
17172,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Tovey, Edward","Henley, Henry",,,,,,,,,,,,,20600.0,,24.0,,13.0,14.0,,,10.0,9.0,1747.0,,,,,,,7.0,11.0,1748.0,26.0,5.0,1748.0,,,,,,,8.0,3.0,1749.0,"09,10,1747",",,",,"05,26,1748",",,",",,","11,07,1748","03,08,1749",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,60608.0,60600.0,60000.0,35114.0,,,,,,,,,,,,,,,,,,,,60608.0,35100.0,30000.0,35114.0,7.0,7.0,,,,,,,,"Deane, Thomas*",,,,,,,,,,,,,,,,60608.0,,,20699.0,10404.0,10404.0,10404.0,10404.0,,,35100.0,,,60600.0,,,10400.0,,10400.0,10000.0,35.0,,,,,,Chard,35114.0,200.0,,,,200.0,,,,,,,,,,,,,244.0,,300.0,"Richardson,III","LList, 29 Apr 1748","LList, 7 Mar 1749",,,,,,,,,,,,,,,,128.3,70.0,22.0,,,,259.0,,,,,,,,,,,,,75.0,25,1700,10,50,1748,1748,1747,1746.0,1747.0,,0,,,,,,,,,,,,
17239,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Robe, Alexander",,,,,,,,,,,,,,80500.0,,20.0,,17.0,14.0,,,11.0,2.0,1749.0,,,,,,,26.0,2.0,1750.0,11.0,1.0,1750.0,,,,,,,27.0,4.0,1750.0,"02,11,1749",",,",,"01,11,1750",",,",",,","02,26,1750","04,27,1750",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,60699.0,60600.0,60000.0,33299.0,,,,,,,,,,,,,,,,,,,,60699.0,33200.0,30000.0,33299.0,7.0,7.0,,,,,60673.0,,,,,,,,,,,,,,,,,,,60699.0,,,80599.0,,10404.0,10404.0,10404.0,,,33200.0,,,60600.0,,,,,10400.0,10000.0,,,,,,,Hound,33299.0,,,,,209.0,,,,,,,,,,,,,276.0,,200.0,"Richardson,III","LList, 2 Jan 1750",,,,,,,,,,,,,,,,,92.3,50.0,22.0,,,,334.0,,,,,,,,,,,,,114.0,25,1700,10,50,1750,1750,1749,,,,0,,,,,,,,,,,,
17275,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Boucher, Edward",,,,,,,,,,,,,,10400.0,,30.0,,20.0,18.0,,,11.0,10.0,1750.0,,,,9.0,11.0,1751.0,23.0,5.0,1752.0,15.0,1.0,1752.0,,,,,,,13.0,7.0,1752.0,"10,11,1750",",,","11,9,1751","01,15,1752",",,",",,","05,23,1752","07,13,1752",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,60412.0,60400.0,60000.0,35114.0,,,,,,,,,,,,,,,,,,,,60412.0,35100.0,30000.0,35114.0,7.0,7.0,0.0,0.0,300.0,,,,,"Tonge, John*",,,,,,,,,,,,,,,,60201.0,60322.0,60412.0,10404.0,10404.0,10404.0,10404.0,10404.0,,,35100.0,,,60200.0,60300.0,60400.0,10400.0,,10400.0,10000.0,4.0,,,,,,Triton,35114.0,350.0,,,,350.0,,,,,,,,,,,,,380.0,,400.0,"Richardson,III","Martin,Spurrell,19,35.45","T70/29,f.8,8v",,,,,,,,,,,,,,,,218.3,120.0,22.0,380.0,,380.0,461.0,67.0,,30.0,0.08,,,,,,,,,33.0,26,1700,11,51,1751,1752,1750,1748.0,1748.0,,0,,,,,,,,,,,,
